,domain,grid_id,webview_height,webview_width,displays,clicks,landed_clicks,non_bounced_clicks,closing_events,avg_last_second_framerate,sov_short_ttc,sov_short_ttc_global,sov_short_ttc_score,landing_rate
1114,ID_196,333519,250.0,300.0,6242,17.0,14.0,5.0,3.0,65.05263157894737,,,,82.35
1115,ID_3515,333519,250.0,300.0,2815,8.0,8.0,4.0,2.0,52.42857142857143,,,,100.0
1116,ID_4206,333519,250.0,300.0,22743,7.0,7.0,3.0,1.0,64.88888888888889,,,,100.0
1117,ID_3718,333346,250.0,300.0,5572,6.0,5.0,3.0,,75.875,,,,83.33
1118,ID_967,333346,250.0,300.0,2861,4.0,2.0,0.0,21.0,28.75,,,,50.0
1119,ID_1146,333346,,,11163,42.0,0.0,0.0,,,,,,0.0
1120,ID_3450,333346,250.0,300.0,11088,1.0,1.0,0.0,,60.0,,,,100.0
1121,ID_145,333519,,,7311,,,,1.0,,,,,
1122,ID_4329,333519,,,2264,,,,,,,,,
1123,ID_1642,333519,,,4521,,,,,,,,,
1124,ID_2775,333346,250.0,300.0,2143,2.0,2.0,2.0,,26.0,,,,100.0
1125,ID_3684,333346,250.0,300.0,4418,7.0,7.0,3.0,3.0,79.0,,,,100.0
1126,ID_409,333346,250.0,300.0,344509,1487.0,45.0,22.0,100.0,38.38636363636363,,,,3.03
1127,ID_620,333346,250.0,300.0,3409,4.0,4.0,2.0,,110.33333333333331,,,,100.0
1128,ID_4493,333519,250.0,300.0,21318,54.0,39.0,15.0,,60.04166666666666,,,,72.22
1129,ID_4353,333519,250.0,300.0,2007,1.0,1.0,0.0,1.0,54.0,,,,100.0
1130,ID_3276,333519,250.0,300.0,9010,1.0,1.0,0.0,,34.0,,,,100.0
1131,ID_3409,333346,250.0,300.0,2980,1.0,1.0,1.0,,59.0,,,,100.0
1132,ID_2433,333346,,,5306,,,,,,,,,
1133,ID_962,333519,250.0,300.0,5966,6.0,5.0,3.0,1.0,97.5,,,,83.33
1134,ID_513,333519,250.0,300.0,39788,48.0,36.0,16.0,32.0,50.86792452830189,,,,75.0
1135,ID_674,333346,250.0,300.0,4943,3.0,3.0,1.0,,61.0,,,,100.0
1136,ID_4351,333346,250.0,300.0,3650,6.0,5.0,3.0,,58.333333333333336,,,,83.33
1137,ID_243,333519,250.0,300.0,2069,4.0,3.0,3.0,,47.2,,,,75.0
1138,ID_2286,333519,250.0,300.0,14025,36.0,24.0,8.0,2.0,64.53191489361703,,,,66.67
1139,ID_2573,333519,250.0,300.0,17100,29.0,21.0,6.0,8.0,56.372093023255815,,,,72.41
1140,ID_669,333519,,,2140,,,,,,,,,
1141,ID_1160,333519,,,6921,,,,,,,,,
1142,ID_1485,333346,,,2092,,,,,,,,,
1143,ID_2781,333346,250.0,300.0,108864,22.0,18.0,7.0,5.0,53.26923076923077,,,,81.82
1144,ID_3771,333519,250.0,300.0,3222,4.0,3.0,0.0,1.0,107.75,,,,75.0
1145,ID_3780,333519,250.0,300.0,24491,18.0,14.0,6.0,6.0,58.95,,,,77.78
1146,ID_2835,333346,,,4840,,,,1.0,,,,,
1147,ID_119,333519,250.0,300.0,19381,96.0,77.0,31.0,5.0,64.66871165644172,,,,80.21
1148,ID_1686,333519,250.0,300.0,18724,6.0,5.0,1.0,2.0,41.71428571428572,,,,83.33
1149,ID_2714,333519,250.0,300.0,32047,54.0,45.0,12.0,2.0,55.29166666666666,,,,83.33
1150,ID_2189,333519,250.0,300.0,5568,12.0,12.0,5.0,2.0,58.4375,,,,100.0
1151,ID_1053,333519,250.0,300.0,2784,5.0,5.0,1.0,,58.71428571428572,,,,100.0
1152,ID_1611,333519,250.0,300.0,3085,1.0,1.0,1.0,,54.0,,,,100.0
1153,ID_345,333519,250.0,300.0,8822,17.0,14.0,5.0,,40.3,,,,82.35
1154,ID_890,333519,,,5845,,,,,,,,,
1155,ID_432,333346,250.0,300.0,9429,2.0,2.0,1.0,,65.5,,,,100.0
1156,ID_4456,333519,,,3057,,,,,,,,,
1157,ID_2055,333346,250.0,300.0,2335,2.0,2.0,1.0,,65.0,,,,100.0
1158,ID_893,333346,250.0,300.0,5484,1.0,0.0,0.0,2.0,34.0,,,,0.0
1159,ID_3629,333346,250.0,300.0,2309,3.0,3.0,1.0,,59.0,,,,100.0
1160,ID_4132,333346,250.0,300.0,3003,4.0,1.0,1.0,,54.16666666666666,,,,25.0
1161,ID_4283,333346,250.0,300.0,69442,87.0,72.0,33.0,5.0,67.61538461538461,,,,82.76
1162,ID_1613,333519,250.0,300.0,11381,41.0,33.0,14.0,1.0,20.86046511627907,,,,80.49
1163,ID_400,333519,250.0,300.0,4463,7.0,3.0,3.0,,48.84615384615385,,,,42.86
1164,ID_4560,333519,250.0,300.0,7456,5.0,4.0,1.0,1.0,96.14285714285714,,,,80.0
1165,ID_1870,333519,250.0,300.0,4454,1.0,1.0,1.0,,60.0,,,,100.0
1166,ID_3886,333519,250.0,300.0,3507,1.0,1.0,1.0,,59.0,,,,100.0
1167,ID_2144,333519,250.0,300.0,6509,6.0,5.0,4.0,,28.83333333333333,,,,83.33
1168,ID_54,333519,250.0,300.0,5149,9.0,8.0,2.0,,55.73333333333333,,,,88.89
1169,ID_3611,333519,250.0,300.0,3766,4.0,4.0,3.0,,71.75,,,,100.0
1170,ID_3346,333519,250.0,300.0,28818,16.0,12.0,5.0,1.0,68.6,,,,75.0
1171,ID_520,333519,250.0,300.0,2161,4.0,4.0,1.0,1.0,59.0,,,,100.0
1172,ID_2239,333519,250.0,300.0,12089,16.0,9.0,3.0,1.0,77.75,,,,56.25
1173,ID_3848,333519,250.0,300.0,46153,31.0,23.0,6.0,,62.29268292682927,,,,74.19
1174,ID_38,333519,250.0,300.0,92040,157.0,142.0,30.0,65.0,60.86772486772487,,,,90.45
1175,ID_2198,333519,250.0,300.0,6971,4.0,3.0,3.0,,66.0,,,,75.0
1176,ID_1134,333519,250.0,300.0,17068,72.0,68.0,29.0,1.0,67.23076923076923,,,,94.44
1177,ID_4016,333346,250.0,300.0,12456,34.0,33.0,24.0,1.0,62.95238095238095,,,,97.06
1178,ID_1421,333346,250.0,300.0,2333,5.0,3.0,1.0,,31.4,,,,60.0
1179,ID_3467,333346,250.0,300.0,5264,4.0,4.0,1.0,,72.75,,,,100.0
1180,ID_3696,333346,250.0,300.0,7508,2.0,1.0,1.0,,49.5,,,,50.0
1181,ID_4357,333346,250.0,300.0,2098,10.0,9.0,6.0,,61.5,,,,90.0
1182,ID_171,333346,250.0,300.0,2863,1.0,1.0,0.0,1.0,57.0,,,,100.0
1183,ID_4108,333519,,,2457,,,,,,,,,
1184,ID_3439,333519,250.0,300.0,4284,24.0,23.0,11.0,1.0,66.4090909090909,,,,95.83
1185,ID_1410,333519,250.0,300.0,10926,51.0,39.0,13.0,4.0,57.56363636363636,,,,76.47
1186,ID_421,333519,250.0,300.0,5679,7.0,4.0,1.0,5.0,95.46153846153848,,,,57.14
1187,ID_3272,333519,250.0,300.0,2719,1.0,1.0,1.0,1.0,66.0,,,,100.0
1188,ID_4039,333519,250.0,300.0,36096,14.0,14.0,9.0,2.0,52.0,,,,100.0
1189,ID_2630,333519,250.0,300.0,12595,6.0,6.0,2.0,1.0,48.125,,,,100.0
1190,ID_2917,333519,250.0,300.0,7335,3.0,2.0,2.0,,73.0,,,,66.67
1191,ID_779,333346,250.0,300.0,2148,1.0,0.0,0.0,,53.0,,,,0.0
1192,ID_4269,333346,250.0,300.0,3011,3.0,2.0,2.0,,65.0,,,,66.67
1193,ID_1281,333519,250.0,300.0,6190,35.0,27.0,7.0,1.0,52.79710144927536,,,,77.14
1194,ID_1337,333519,250.0,300.0,328567,557.0,499.0,199.0,34.0,55.30010718113612,,,,89.59
1195,ID_1774,333519,250.0,300.0,7303,18.0,18.0,8.0,,67.0,,,,100.0
1196,ID_4000,333519,250.0,300.0,83199,427.0,377.0,132.0,3.0,64.03088803088804,,,,88.29
1197,ID_1645,333519,250.0,300.0,12349,20.0,16.0,6.0,8.0,65.11111111111111,,,,80.0
1198,ID_2507,333519,250.0,300.0,11538,22.0,17.0,9.0,,68.10714285714286,,,,77.27
1199,ID_678,333519,250.0,300.0,59611,44.0,29.0,4.0,24.0,51.01639344262295,,,,65.91
1200,ID_4112,333519,250.0,300.0,3597,3.0,3.0,0.0,,59.0,,,,100.0
1201,ID_4116,333519,250.0,300.0,26873,3.0,0.0,0.0,9.0,42.66666666666666,,,,0.0
1202,ID_4570,333519,250.0,300.0,15780,7.0,4.0,1.0,2.0,57.44444444444444,,,,57.14
1203,ID_3238,333519,250.0,300.0,2002,5.0,4.0,4.0,,79.0,,,,80.0
1204,ID_4214,333519,250.0,300.0,9326,15.0,9.0,1.0,,39.333333333333336,,,,60.0
1205,ID_1019,333519,250.0,300.0,4370,3.0,3.0,2.0,1.0,42.333333333333336,,,,100.0
1206,ID_3125,333519,250.0,300.0,26868,57.0,40.0,17.0,6.0,63.83673469387755,,,,70.18
1207,ID_3698,333519,250.0,300.0,3363,1.0,0.0,0.0,,57.0,,,,0.0
1208,ID_2636,333519,250.0,300.0,2855,23.0,22.0,3.0,1.0,63.03921568627451,,,,95.65
1209,ID_4396,333519,250.0,300.0,15393,44.0,29.0,12.0,33.0,53.13235294117647,,,,65.91
1210,ID_801,333519,250.0,300.0,15535,31.0,26.0,10.0,13.0,65.6046511627907,,,,83.87
1211,ID_4051,333519,250.0,300.0,31254,114.0,98.0,43.0,13.0,64.28571428571429,,,,85.96
1212,ID_897,333346,,,2534,,,,,,,,,
1213,ID_4014,333519,,,2623,,,,,,,,,
1214,ID_3706,333519,,,4491,,,,,,,,,
1215,ID_634,333346,250.0,300.0,3663,7.0,6.0,0.0,,59.22222222222222,,,,85.71
1216,ID_3760,333346,250.0,300.0,3592,9.0,9.0,4.0,,68.36363636363636,,,,100.0
1217,ID_470,333346,250.0,300.0,3971,7.0,7.0,4.0,2.0,57.15384615384615,,,,100.0
1218,ID_80,333346,250.0,300.0,102119,61.0,48.0,31.0,1.0,58.067567567567565,,,,78.69
1219,ID_3671,333346,250.0,300.0,6399,12.0,10.0,4.0,,71.11111111111111,,,,83.33
1220,ID_3846,333346,250.0,300.0,5414,7.0,6.0,2.0,,57.85714285714285,,,,85.71
1221,ID_1985,333519,250.0,300.0,5999,6.0,5.0,2.0,,67.5,,,,83.33
1222,ID_1437,333519,250.0,300.0,3029,2.0,1.0,0.0,2.0,59.0,,,,50.0
1223,ID_3402,333346,,,5907,,,,2.0,,,,,
1224,ID_1217,333519,250.0,300.0,3898,1.0,0.0,0.0,,112.0,,,,0.0
1225,ID_4017,333519,250.0,300.0,2351,12.0,11.0,4.0,,72.1,,,,91.67
1226,ID_2254,333519,250.0,300.0,5313,8.0,6.0,3.0,1.0,108.05,,,,75.0
1227,ID_1394,333519,250.0,300.0,7637,44.0,38.0,18.0,1.0,63.05681818181818,,,,86.36
1228,ID_1312,333519,250.0,300.0,61573,193.0,142.0,69.0,9.0,58.276978417266186,,,,73.58
1229,ID_586,333346,250.0,300.0,2630,1.0,1.0,0.0,,4.0,,,,100.0
1230,ID_2986,333346,250.0,300.0,2782,11.0,9.0,1.0,1.0,58.81481481481482,,,,81.82
1231,ID_2422,333346,250.0,300.0,10135,13.0,12.0,6.0,,61.41176470588236,,,,92.31
1232,ID_2528,333519,,,3097,,,,,,,,,
1233,ID_2558,333346,250.0,300.0,13779,7.0,5.0,4.0,,69.28571428571429,,,,71.43
1234,ID_3548,333346,250.0,300.0,2969,12.0,1.0,1.0,1.0,18.0,,,,8.33
1235,ID_2522,333346,,,3123,,,,,,,,,
1236,ID_1983,333519,,,9247,,,,,,,,,
1237,ID_3961,333346,250.0,300.0,12989,13.0,12.0,7.0,1.0,60.15384615384615,,,,92.31
1238,ID_4183,333346,250.0,300.0,16278,44.0,10.0,2.0,79.0,40.977777777777774,,,,22.73
1239,ID_1552,333346,250.0,300.0,105010,234.0,202.0,103.0,7.0,64.53977272727273,,,,86.32
1240,ID_3169,333346,250.0,300.0,2142,3.0,2.0,1.0,1.0,45.333333333333336,,,,66.67
1241,ID_560,333346,250.0,300.0,3948,11.0,9.0,8.0,6.0,56.294117647058826,,,,81.82
1242,ID_4287,333346,250.0,300.0,2650,1.0,1.0,1.0,,60.0,,,,100.0
1243,ID_697,333519,,,10462,,,,,,,,,
1244,ID_2680,333519,,,5808,,,,,,,,,
1245,ID_4519,333519,,,4261,,,,1.0,,,,,
1246,ID_4503,333346,,,8188,,,,,,,,,
1247,ID_3146,333519,,,2277,,,,,,,,,
1248,ID_4371,333519,,,7628,,,,,,,,,
1249,ID_4288,333519,250.0,300.0,37389,85.0,71.0,38.0,2.0,62.271186440677965,,,,83.53
1250,ID_3205,333519,250.0,300.0,4507,17.0,13.0,2.0,13.0,53.95744680851064,,,,76.47
1251,ID_943,333519,250.0,300.0,17605,18.0,16.0,10.0,2.0,57.03846153846154,,,,88.89
1252,ID_1637,333346,250.0,300.0,2394,1.0,1.0,1.0,,58.0,,,,100.0
1253,ID_3410,333519,250.0,300.0,18883,47.0,40.0,9.0,1.0,70.36893203883496,,,,85.11
1254,ID_717,333519,250.0,300.0,16328,10.0,8.0,3.0,2.0,84.27777777777777,,,,80.0
1255,ID_334,333346,,,3137,,,,1.0,,,,,
1256,ID_3566,333346,,,2311,,,,,,,,,
1257,ID_1504,333519,,,3142,,,,,,,,,
1258,ID_3981,333519,250.0,300.0,34269,26.0,20.0,8.0,2.0,65.1304347826087,,,,76.92
1259,ID_828,333519,250.0,300.0,5398,3.0,3.0,3.0,,56.0,,,,100.0
1260,ID_868,333519,250.0,300.0,2037,14.0,14.0,1.0,,54.42857142857143,,,,100.0
1261,ID_1773,333519,250.0,300.0,6061,2.0,1.0,0.0,,40.5,,,,50.0
1262,ID_612,333519,,,2024,,,,,,,,,
